id,APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests,correct source-code paths,consequences_details
31,kroll-software/babyagi4all,https://github.com/kroll-software/babyagi4all/tree/3dc42659eb5cb51dbea71b565ce09f61a130cc20,absence of final output,case1,"Tasks and outcomes are only visible on the terminal. Once the instance is closed, all tasks and results are lost. ",UI,"babyagi.py/execution_agent()/class SingleTaskListStorage, class DefaultResultsStorage","1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.set the following .env variable:COOPERATIVE_MODE=local
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py
10.Close the Instance:Stop the running script by pressing Ctrl+C in the terminal or closing the terminal window.
11.Restart the script to check if the previous tasks and outcomes are retrievable.
12.Notice that the previous tasks and outcomes are not available.",['babyagi.py'],['unfriendly user interface']
32,sw5park/LUISE,https://github.com/sw5park/LUISE/tree/e88343c1e2d1c634a33838500e6cc72aa97fdeaa,insufficient history management,case1,"Subtasks are sometimes executed repeatedly, often the first task.","IC,SL",scripts/main.py/task_creation_agent(),"1.Run the script according to the previously mentioned steps.
2. Observe the tasks and outcoms, until you notice the repeated tasks.",['scripts/main.py'],"['incorrectness', 'slower execution']"
33,sw5park/LUISE,https://github.com/sw5park/LUISE/tree/e88343c1e2d1c634a33838500e6cc72aa97fdeaa,incompatible llm output format,/,Task list numbering continues to reset or get misordered.,IC,"scripts/main.py/task_creation_agent(), prioritization_agent()","1.Run the script according to the previously mentioned steps.
2.Observe whether the generated task list shows any numbering inconsistencies or misorder.",['scripts/main.py'],['incorrectness']
34,sw5park/LUISE,https://github.com/sw5park/LUISE/tree/e88343c1e2d1c634a33838500e6cc72aa97fdeaa,unnecessary llm output,/,The task creation process generating too many unnecessary tasks,"IC,UI",scripts/main.py/task_creation_agent(),"1.Clone the Repository:
   git clone https://github.com/yoheinakajima/babyagi.git
   cd babyagi
2.Install the Required Packages:
   pip install -r requirements.txt
3.Set Up Environment Variables:
  (1)Copy the .env.example file to .env:
   cp .env.example .env
  (2)Open the .env file and set the following variables:
   OPENAI_API_KEY=your_openai_api_key
   OPENAI_API_MODEL=gpt-3.5-turbo
   TABLE_NAME=your_results_store_name
   COOPERATIVE_MODE=local
(3)Optionally, set other variables:
   BABY_NAME=your_babyagi_instance_name
   OBJECTIVE=""do nothing""
   INITIAL_TASK=""Make a todo list""
4.Run the Script:
   python babyagi.py
5.Observe Tasks and Outcomes",['scripts/main.py'],"['incorrectness', 'unfriendly user interface']"
35,sw5park/LUISE,https://github.com/sw5park/LUISE/tree/e88343c1e2d1c634a33838500e6cc72aa97fdeaa,imprecise knowledge retrieval,/,"There is an issue with how the vector database is queried. The execution_agent function currently uses the objective parameter to query similar documents. The query needs use the task parameter instead, as this would more effectively leverage existing solutions relevant to the specific task being addressed.","IC,SL",scripts/main.py/execution_agent(),"(steps to use the script:babyagi.py)
1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py",['scripts/main.py'],"['incorrectness', 'slower execution']"
36,sw5park/LUISE,https://github.com/sw5park/LUISE/tree/e88343c1e2d1c634a33838500e6cc72aa97fdeaa,absence of final output,case1,"Tasks and outcomes are only visible on the terminal. Once the instance is closed, all tasks and results are lost. ",UI,"scripts/main.py/execution_agent()/class SingleTaskListStorage, class DefaultResultsStorage","1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.set the following .env variable:COOPERATIVE_MODE=local
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py
10.Close the Instance:Stop the running script by pressing Ctrl+C in the terminal or closing the terminal window.
11.Restart the script to check if the previous tasks and outcomes are retrievable.
12.Notice that the previous tasks and outcomes are not available.",['scripts/main.py'],['unfriendly user interface']
37,robiwan303/babyagi,https://github.com/robiwan303/babyagi/tree/9c22f053675710094576bfc4e6527f59a50e6ac2,insufficient history management,case1,"Subtasks are sometimes executed repeatedly, often the first task.","IC,SL",babyagi.py/task_creation_agent(),"1.Run the script according to the previously mentioned steps.
2. Observe the tasks and outcoms, until you notice the repeated tasks.",['babyagi.py'],"['incorrectness', 'slower execution']"
38,robiwan303/babyagi,https://github.com/robiwan303/babyagi/tree/9c22f053675710094576bfc4e6527f59a50e6ac2,incompatible llm output format,/,Task list numbering continues to reset or get misordered.,IC,"babyagi.py/task_creation_agent(), prioritization_agent()","1.Run the script according to the previously mentioned steps.
2.Observe whether the generated task list shows any numbering inconsistencies or misorder.",['babyagi.py'],['incorrectness']
39,robiwan303/babyagi,https://github.com/robiwan303/babyagi/tree/9c22f053675710094576bfc4e6527f59a50e6ac2,unnecessary llm output,/,The task creation process generating too many unnecessary tasks,"IC,UI",babyagi.py/task_creation_agent(),"1.Clone the Repository:
   git clone https://github.com/yoheinakajima/babyagi.git
   cd babyagi
2.Install the Required Packages:
   pip install -r requirements.txt
3.Set Up Environment Variables:
  (1)Copy the .env.example file to .env:
   cp .env.example .env
  (2)Open the .env file and set the following variables:
   OPENAI_API_KEY=your_openai_api_key
   OPENAI_API_MODEL=gpt-3.5-turbo
   TABLE_NAME=your_results_store_name
   COOPERATIVE_MODE=local
(3)Optionally, set other variables:
   BABY_NAME=your_babyagi_instance_name
   OBJECTIVE=""do nothing""
   INITIAL_TASK=""Make a todo list""
4.Run the Script:
   python babyagi.py
5.Observe Tasks and Outcomes",['babyagi.py'],"['incorrectness', 'unfriendly user interface']"
40,robiwan303/babyagi,https://github.com/robiwan303/babyagi/tree/9c22f053675710094576bfc4e6527f59a50e6ac2,imprecise knowledge retrieval,/,"There is an issue with how the vector database is queried. The execution_agent function currently uses the objective parameter to query similar documents. The query needs use the task parameter instead, as this would more effectively leverage existing solutions relevant to the specific task being addressed.","IC,SL",babyagi.py/execution_agent(),"(steps to use the script:babyagi.py)
1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py",['babyagi.py'],"['incorrectness', 'slower execution']"
41,robiwan303/babyagi,https://github.com/robiwan303/babyagi/tree/9c22f053675710094576bfc4e6527f59a50e6ac2,absence of final output,case1,"Tasks and outcomes are only visible on the terminal. Once the instance is closed, all tasks and results are lost. ",UI,"babyagi.py/execution_agent()/class SingleTaskListStorage, class DefaultResultsStorage","1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.set the following .env variable:COOPERATIVE_MODE=local
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py
10.Close the Instance:Stop the running script by pressing Ctrl+C in the terminal or closing the terminal window.
11.Restart the script to check if the previous tasks and outcomes are retrievable.
12.Notice that the previous tasks and outcomes are not available.",['babyagi.py'],['unfriendly user interface']
